startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar_0,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_9
409,당고개역,456,오이도역,444,산본역,1,1,FRI,10,40,7,6,7,9,11,8,10,8,6.0,7.0
409,당고개역,456,오이도역,444,산본역,1,1,FRI,10,50,9,8,9,12,14,11,12,10,8.0,8.0
411,노원역,456,오이도역,447,반월역,1,0,FRI,10,00,4,7,8,8,10,14,11,6,6.0,4.0
411,노원역,456,오이도역,447,반월역,1,0,FRI,10,10,5,5,6,10,11,8,8,6,5.0,5.0
411,노원역,456,오이도역,447,반월역,1,0,FRI,10,20,6,9,10,11,15,10,12,8,4.0,5.0
411,노원역,456,오이도역,447,반월역,1,0,FRI,10,30,11,9,9,11,10,10,12,8,5.0,6.0
411,노원역,456,오이도역,447,반월역,1,0,FRI,10,40,2,8,9,16,11,11,8,4,7.0,5.0
411,노원역,456,오이도역,447,반월역,1,0,FRI,10,50,8,10,11,13,13,18,12,8,3.0,6.0
412,창동역,456,오이도역,447,반월역,1,0,FRI,10,00,4,7,8,8,10,14,11,6,6.0,4.0
412,창동역,456,오이도역,447,반월역,1,0,FRI,10,10,5,5,6,10,11,8,8,6,5.0,5.0
412,창동역,456,오이도역,447,반월역,1,0,FRI,10,20,6,9,10,11,15,10,12,8,4.0,5.0
412,창동역,456,오이도역,447,반월역,1,0,FRI,10,30,11,9,9,11,10,10,12,8,5.0,6.0
412,창동역,456,오이도역,447,반월역,1,0,FRI,10,40,2,8,9,16,11,11,8,4,7.0,5.0
412,창동역,456,오이도역,447,반월역,1,0,FRI,10,50,8,10,11,13,13,18,12,8,3.0,6.0
419,한성대입구역,456,오이도역,447,반월역,1,0,FRI,10,00,4,7,8,8,10,14,11,6,6.0,4.0
419,한성대입구역,456,오이도역,447,반월역,1,0,FRI,10,10,5,5,6,10,11,8,8,6,5.0,5.0
419,한성대입구역,456,오이도역,447,반월역,1,0,FRI,10,20,6,9,10,11,15,10,12,8,4.0,5.0
419,한성대입구역,456,오이도역,447,반월역,1,0,FRI,10,30,11,9,9,11,10,10,12,8,5.0,6.0
419,한성대입구역,456,오이도역,447,반월역,1,0,FRI,10,40,2,8,9,16,11,11,8,4,7.0,5.0
419,한성대입구역,456,오이도역,447,반월역,1,0,FRI,10,50,8,10,11,13,13,18,12,8,3.0,6.0
433,사당역,456,오이도역,447,반월역,1,0,FRI,10,00,4,7,8,8,10,14,11,6,6.0,4.0
433,사당역,456,오이도역,447,반월역,1,0,FRI,10,10,5,5,6,10,11,8,8,6,5.0,5.0
433,사당역,456,오이도역,447,반월역,1,0,FRI,10,20,6,9,10,11,15,10,12,8,4.0,5.0
433,사당역,456,오이도역,447,반월역,1,0,FRI,10,30,11,9,9,11,10,10,12,8,5.0,6.0
433,사당역,456,오이도역,447,반월역,1,0,FRI,10,40,2,8,9,16,11,11,8,4,7.0,5.0
433,사당역,456,오이도역,447,반월역,1,0,FRI,10,50,8,10,11,13,13,18,12,8,3.0,6.0
443,금정역,456,오이도역,447,반월역,1,0,FRI,10,00,4,7,8,8,10,14,11,6,6.0,4.0
443,금정역,456,오이도역,447,반월역,1,0,FRI,10,10,5,5,6,10,11,8,8,6,5.0,5.0
443,금정역,456,오이도역,447,반월역,1,0,FRI,10,20,6,9,10,11,15,10,12,8,4.0,5.0
443,금정역,456,오이도역,447,반월역,1,0,FRI,10,30,11,9,9,11,10,10,12,8,5.0,6.0
443,금정역,456,오이도역,447,반월역,1,0,FRI,10,40,2,8,9,16,11,11,8,4,7.0,5.0
443,금정역,456,오이도역,447,반월역,1,0,FRI,10,50,8,10,11,13,13,18,12,8,3.0,6.0
453,안산역,409,당고개역,449,한대앞역,0,0,FRI,10,00,12,14,16,16,26,20,23,15,19.0,19.0
453,안산역,409,당고개역,449,한대앞역,0,0,FRI,10,10,6,14,18,19,16,11,12,12,10.0,13.0
